userid	ab_group	purchaser	nrPurchases	nrPaidSwaps	nrGames
25385271175	0	1	1	208	78
22278245384	0	0	0	0	0
24715140553	0	0	0	0	0
22756648089	0	0	0	0	0
24384649175	0	0	0	0	0
24150900528	0	0	0	0	0
23411814703	0	0	0	0	0
25107878019	0	0	0	0	0
25243648165	0	0	0	0	0
23035873203	0	0	0	0	0
25566107679	0	0	0	2	27
23812772353	0	0	0	0	0
25629718196	0	0	0	0	11
25398298704	0	0	0	0	0
25102941035	0	0	0	0	0
25443979110	0	0	0	0	0
23685606454	0	0	0	1	5
24767072058	0	0	0	0	0
25043471158	0	0	0	1	1
24730283633	0	0	0	9	42
24428569193	0	0	0	0	0
23625355820	0	0	0	0	0
22099799184	0	0	0	0	0
25595799161	0	0	0	0	0
25130680950	0	0	0	0	0
15051138020	0	0	0	0	0
21967892469	0	0	0	0	0
25625827670	0	0	0	3	7
25136838049	0	0	0	0	0
22468770608	0	0	0	0	0
25062119981	0	0	0	0	0
23850918218	0	1	2	240	386
25544138135	0	0	0	6	64
25468048007	0	0	0	5	90
24269518973	0	0	0	0	0
23960068634	0	0	0	0	0
25551240413	0	0	0	0	0
24985997198	0	0	0	0	0
21745280643	0	0	0	0	0
25544299717	0	0	0	0	0
21843159242	0	0	0	0	3
25043074285	0	0	0	6	69
22006692449	0	0	0	0	0
24895719579	0	0	0	7	11
22954069664	0	0	0	0	89
13077837927	0	0	0	0	0
23794697126	0	0	0	0	0
25242357614	0	0	0	2	73
24463938316	0	0	0	0	0
23507657109	0	0	0	0	0
11034987222	0	0	0	4	1
22096644767	0	0	0	0	0
23709572545	0	0	0	0	1
12421599015	0	0	0	0	0
24284724944	0	0	0	0	0
25105082206	0	0	0	0	0
1114833547	0	0	0	0	0
25240387884	0	0	0	3	24
22101287577	0	0	0	0	0
23802776669	0	0	0	0	54
24032321052	0	0	0	0	0
23220899628	0	0	0	0	1
25372412194	0	0	0	0	0
25559249647	0	0	0	0	0
25654507508	0	0	0	0	0
25490500932	0	0	0	0	3
22969090155	0	0	0	0	0
22717704179	0	1	1	10	45
25551167471	0	1	2	15	34
25579120356	0	0	0	0	0
25622847232	0	0	0	1	68
24759078104	0	0	0	9	146
21946687013	0	0	0	5	29
23684404546	0	0	0	0	0
25570748691	0	0	0	0	0
25358757601	0	0	0	0	0
24013885321	0	0	0	0	0
25640828268	0	0	0	0	0
24014720980	0	0	0	0	0
24622668875	0	0	0	0	0
25375144240	0	0	0	0	0
25548727130	0	0	0	0	0
24915238691	0	0	0	0	0
